,Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
156,meal_id2   ,chicken minced salad                                                          ,salad       ,"जैतून का तेल, चिकन कीमा, लहसुन , प्याज, नमक, कालीमिर्च, गाजर, पत्तागोभी, हरी प्याज, स्वीट चिली सॉस, पीनट बटर, अदरक, सॉय सॉस, ताजा हरा धनिया, चिली फलेक्स, टार्ट                                                                                                                                                                                                                                                                                                                                                                                                                   ",non-veg ,fiber         ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,455
173,meal_id136 ,malabari fish curry                                                           ,curry       ,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,405
174,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,455
175,meal_id138 ,malabar fish curry                                                            ,curry       ,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts                                                                                                                                                                                                                                                                                                                                                                                                               ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,510
176,meal_id139 ,surmai curry with lobster butter rice                                         ,rice        ,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai                                                                                                                                                                                                                                                                                             ",veg     ,chloride      ,obesity diabeties anemia                                                                                              ,low_sodium_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                     ,445
177,meal_id140 ,seared salmon in tabasco butter                                               ,butter      ,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,calcium       ,anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties                                          ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet                                                                                                                ,265
178,meal_id141 ,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille ",egg         ,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt                                                                                                                                                                                                                                                                 ",non-veg ,vitamin_c     ,hypertension cancer heart_disease rickets goitre kidney_disease pregnancy diabeties                                   ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                                 ,455
179,meal_id142 ,fish skewers with coriander and red wine vinegar dressing                     ,wine        ,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers                                                                                                                                                                                                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties             ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                          ,665
183,meal_id146 ,goan prawn curry &amp; baked rice canapes                                     ,rice        ,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite                                                                                                                                               ",veg     ,iron          ,obesity diabeties goitre anemia                                                                                       ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                                                                        ,550
184,meal_id147 ,bihari fish curry                                                             ,curry       ,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves                                                                                                                                                                                                                                                                                                                           ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,220
185,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach                                                                                                                                                                                                                                                                                                                                                                                                                              ",non-veg ,vitamin_c     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,560
186,meal_id148 ,beer batter fish fingers                                                      ,fish        ,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard                                                                                                                                                                                                                                                                                                                                                                                                                                            ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                         ,635
187,meal_id149 ,prawn and litchi salad                                                        ,salad       ,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt                                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,fiber         ,obesity goitre hypertension                                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,385
188,meal_id150 ,kerala fish curry                                                             ,curry       ,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water                                                                                                                                                                                                                                                                                                   ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,405
189,meal_id151 ,fish andlouse                                                                 ,fish        ,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc.                                                                                                                                                                                                                                                ",non-veg ,vitamin_c     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,255
190,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"जामुन, चीनी, मिर्च, लहसुन की कलियां, जीरा पाउडर, फिश फिलेट, सूजी, नमक, पालक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,210
191,meal_id59  ,pesto fish kebabs                                                             ,kebabs      ,"किंग फिश एक इंच टुकड़ों को में कटे हुए, लाल शिमला मिर्च एक इंच टुकड़ों को में कटे हुए, बेजल पेस्तो, वाइट वाइन विनेगर, नमक, कुकिंग स्प्रे                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,230
192,meal_id152 ,prawn fried rice                                                              ,rice        ,"तेल, बैकन, प्रॉन्स, चिकन, गाजर, लहसुन की कलियां, अदरक, स्प्रिंग अनियन, स्वीट चिली सॉस, सोय सॉस, नमक, कालीमिर्च, स्वीट कॉर्न, सिरका, पके हुए चावल, हरा धनिया                                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,carbohydrates ,obesity cancer diabeties anemia                                                                                       ,alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet                                                                                                        ,575
193,meal_id153 ,damdama fish curry                                                            ,curry       ,"फिश, प्याज, टमाटर , देगी लाल मिर्च पाउडर, जीरा पाउडर, धनिया पाउडर, हरा धनिया, जीरा, नमक, तेल                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,555
195,meal_id136 ,malabari fish curry                                                           ,curry       ,"फिश, नारियल, अदरक, इमली प्यूरी, नमक, हल्दी पाउडर, छोटी हरी मिर्च, लाल मिर्च पाउडर, शैलेट                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,590
196,meal_id154 ,fish with white sauce                                                         ,sauce       ,"फिलेट फिश, तेल, दूध, मैदा, मक्खन, नमक, पिसी हुई कालीमिर्च                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties             ,alkaline_diet low_fat_diet omni_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet low_carb_diet                                                                   ,240
197,meal_id155 ,chilli fish                                                                   ,fish        ,"फिश के टुकड़े (बोनलेस), मैदा, कॉर्नफलोर, बेकिंग पाउडर, सोय सॉस, सेलेरी, कालीमिर्च , नमक, तेल, हरी प्याज, सॉस के लिए:, अदरक, लहसुन, हरी मिर्च, सॉय सॉस, टोमैटो सॉस, चिली सॉस, कॉर्नफलोर                                                                                                                                                                                                                                                                                                                                                                                                   ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,290
198,meal_id156 ,fish ambultiyal                                                               ,fish        ,"टूना, प्याज, मेथीदाना, साबुत मिर्च, पान्डन का पत्ता, नमक, पानी, इलाइची , दालचीनी, धनिया पाउडर, कालीमिर्च, लाल मिर्च , करी पाउडर, लहसुन (क्रश्ड), चिली फलेक्स, गोरका,  नमक                                                                                                                                                                                                                                                                                                                                                                                                           ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,675
199,meal_id157 ,chettinad fish fry                                                            ,fish        ,"सुरमई फिश, तेल, लहसुन की कलियां, अदरक (मैश), जीरा, सौंफ, साबुत धनिया, कालीमिर्च , सरसों के दाने, कढ़ीपत्ता, नमक, तेल, पानी, टमाटर, लालमिर्च पाउडर, हल्दी पाउडर, इमली का पल्प, कॉर्नफलोर, नींबू के टुकड़े                                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,545
200,meal_id158 ,fish moilee                                                                   ,fish        ,"​बासा मछली, प्याज , अदरक, लहसुन की कलियां, हरी मिर्च, हल्दी, लाल मिर्च पाउडर, धनिया पाउडर, नींबू का रस, कढ़ीपत्ता, रिफाइंड तेल, रिफाइंड आॅयल, सरसों के दाने, कालीमिर्च, सौंफ , हरी इलाइची, नारियल दूध, चेरी टमाटर                                                                                                                                                                                                                                                                                                                                                                           ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,580
201,meal_id159 ,batter fish                                                                   ,fish        ,"ताजी मछली के पीस (रिवर सोल या सी बास), मैदा, पासर्ले, तेल , बेकिंग पाउडर, मैदा, अंडा (वैकल्पिक), सोडा वॉटर, नमक और कालीमिर्च                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,430
202,meal_id160 ,fish salan                                                                    ,fish        ,"किंग फिश, पके टमाटर, देसी घी, अदरक-लहसुन का पेस्ट, प्याज, हल्दी पाउडर, लाल मिर्च पाउडर, कालीमिर्च पाउडर, गरम मसाला, सौंठ, हल्दी पाउडर, सौंफ पाउडर, रिफाइंड आॅयल, नमक , पानी                                                                                                                                                                                                                                                                                                                                                                                                          ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,515
203,meal_id161 ,spanish fish fry                                                              ,fish        ,"सॉल फिश, टमाटर, प्याज, नींबू का रस, आॅलिव आॅयल, अदरक और लहसुन का पेस्ट, तेजपत्ता, दालचीनी स्टिक, हरी मिर्च, सिरका, नमक, पानी                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,605
205,meal_id163 ,red rice vermicelli kheer                                                     ,rice        ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar                                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,650
207,meal_id164 ,green cucumber shots                                                          ,rice        ,"english cucumbers, garlic cloves (smashed), romaine lettuce, basil, parsley, cilantro, big lemon, sea salt, olive oil                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,iron          ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet                                                                                                            ,225
208,meal_id165 ,thai pineapple rice                                                           ,rice        ,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,carbohydrates ,obesity diabeties kidney_disease anemia                                                                               ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,520
209,meal_id166 ,green asparagus risotto                                                       ,rice        ,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,chloride      ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet dash_diet high_fiber_diet hormone_diet                                                                                                                                    ,400
210,meal_id146 ,goan prawn curry &amp; baked rice canapes                                     ,rice        ,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite                                                                                                                                               ",veg     ,iron          ,obesity diabeties goitre anemia                                                                                       ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                                                                        ,300
211,meal_id167 ,veg fried rice                                                                ,rice        ,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,carbohydrates ,obesity cancer diabeties anemia                                                                                       ,alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet                                                                                                        ,280
212,meal_id168 ,egg and garlic fried rice                                                     ,rice        ,"oil, garlic, spring onion , ginger, red chilli , egg, cooked rice, salt, black pepper powder, soya sauce                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet hormone_diet high_protien_diet dash_diet type_a_diet                                                               ,365
213,meal_id169 ,curd rice                                                                     ,rice        ,"rice, water, curd, milk, carrot, green chilli, ginger, salt, coriander leaves, oil, mustard seeds, chana dal, urad dal, curry leaves, red chilli, hing                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,iron          ,obesity diabeties anemia                                                                                              ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                                        ,460
214,meal_id170 ,fried rice with soya chunks                                                   ,rice        ,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,iron          ,anemia cancer kidney_disease obesity diabeties                                                                        ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet dash_diet                                                                                             ,455
217,meal_id171 ,corn pulao                                                                    ,rice        ,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (sautéed and diced), coconut                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,diabeties goitre                                                                                                      ,low_fat_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                                              ,500
218,meal_id172 ,zucchini methi pulao                                                          ,rice        ,"zucchini, basmati rice, fenugreek (methi), clarified butter (desi ghee), clarified butter (desi ghee), cumin seeds (jeera), asafoetida (heeng), green chilles, ginger, salt                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,chloride      ,diabeties goitre                                                                                                      ,ketogenic_diet                                                                                                                                                                          ,485
219,meal_id173 ,lemon rice                                                                    ,rice        ,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger                                                                                                                                                                                                                                                                                                                                                ",veg     ,magnesium     ,obesity diabeties anemia scurvy                                                                                       ,ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                   ,560
220,meal_id174 ,kale channe ki biryani                                                        ,rice        ,"black gram (kala chana), basmati rice (soaked for 2 hours), cinnamon, green cardamoms, cloves, ghee, black cardamoms, black peppercorns, bay leaves, onions, green chillies (slit), ginger-garlic paste, coriander powder, turmeric powder, yogurt, fresh mint leaves, fresh coriander leaves, garam masala powder, red chilli powder, salt, cashew nuts, almonds, milk, fresh cream, saffron, ginger, screw pine essence (kewra), browned onions, whole wheat flour dough                                                                                            ",veg     ,calcium       ,scurvy heart_disease kidney_disease pregnancy diabeties                                                               ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                      ,260
222,meal_id176 ,thai fish curry                                                               ,rice        ,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper                                                                                                                                                                                                                                                                                                                                                                                                             ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,665
223,meal_id177 ,vegetable pulao                                                               ,rice        ,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,phosphorus    ,obesity scurvy kidney_disease heart_disease                                                                           ,low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                              ,220
